epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4744,1.15816,2.16363,1.37411,0.00333,1,0.93823,0.70546,0.62698,2.62058,1.0667,0.00018,0.00018,0.00018
2,96.6452,0.86243,1.1134,1.18684,1,0.41944,0.99211,0.66825,0.97216,2.36411,1.3086,0.00036119,0.00036119,0.00036119
3,142.046,0.81645,0.94092,1.17605,0.99693,0.9,0.99256,0.66432,1.08498,2.17914,1.58984,0.00052258,0.00052258,0.00052258
4,187.373,0.85614,0.90878,1.17199,1,0.97104,0.995,0.72671,0.95813,1.73439,1.33694,0.00066417,0.00066417,0.00066417
5,232.657,0.83044,0.88773,1.13531,0.96247,0.975,0.9928,0.74815,0.94339,1.43407,1.38654,0.00078596,0.00078596,0.00078596
6,278.046,0.81509,0.82912,1.14257,0.99784,1,0.995,0.81174,0.78473,1.10055,1.2363,0.00088795,0.00088795,0.00088795
7,323.964,0.8481,0.81367,1.14694,0.88448,0.95721,0.92532,0.64322,0.94674,1.66599,1.29912,0.00097014,0.00097014,0.00097014
8,372.712,0.81899,0.77967,1.11679,0.92494,0.92417,0.97713,0.67481,0.98985,1.54143,1.49961,0.00103253,0.00103253,0.00103253
9,422.408,0.77593,0.74952,1.0961,0.99222,0.975,0.99451,0.757,0.79324,1.28917,1.2186,0.00107512,0.00107512,0.00107512
10,468.125,0.7533,0.72861,1.11026,0.90505,0.975,0.96658,0.69931,0.81467,1.52571,1.29094,0.00109791,0.00109791,0.00109791
11,513.005,0.64805,1.32871,1.11477,0.98458,0.975,0.99451,0.67472,1.15908,1.61153,1.92579,0.00101,0.00101,0.00101
12,557.956,0.6415,1.12097,1.09531,0.97545,0.99338,0.99451,0.73649,1.07739,1.11422,1.7093,0.000911,0.000911,0.000911
13,602.589,0.61287,1.00288,1.07083,0.99336,1,0.995,0.74774,0.90896,1.13818,1.45273,0.000812,0.000812,0.000812
14,647.588,0.62151,0.93192,1.05712,0.9924,1,0.995,0.80701,0.76,1.03512,1.24683,0.000713,0.000713,0.000713
15,692.12,0.59932,0.89811,1.06318,0.99108,1,0.995,0.81614,0.76378,0.88492,1.22171,0.000614,0.000614,0.000614
16,736.946,0.57855,0.87848,1.03916,0.9975,1,0.995,0.84733,0.60665,0.7673,1.03478,0.000515,0.000515,0.000515
17,782.302,0.55567,0.83997,1.01594,0.99821,1,0.995,0.87749,0.57028,0.69765,1.01554,0.000416,0.000416,0.000416
18,827.984,0.53533,0.80487,1.03206,0.99851,1,0.995,0.88654,0.5869,0.65564,1.01722,0.000317,0.000317,0.000317
19,872.963,0.54471,0.78119,1.02101,0.99853,1,0.995,0.87896,0.5955,0.65386,1.02096,0.000218,0.000218,0.000218
20,918.013,0.49041,0.74775,0.98852,0.99856,1,0.995,0.88236,0.59111,0.62378,1.01546,0.000119,0.000119,0.000119
